Sampiling_Years,Sampling_Months,Sampling_Seasons,Sampling_Sites,EnvironmentalFactors_ShortNames,EnvironmentalFactors_FullNames,EnvironmentalFactors_Values,EnvironmentalFactors_Unites
2014,April,Spring,PFN,vap,Vapor Pressure(average for month),0.691,kPa
2014,April,Spring,ERG,vap,Vapor Pressure(average for month),0.676,kPa
2014,April,Spring,K69,vap,Vapor Pressure(average for month),0.691,kPa
2014,April,Spring,WH,vap,Vapor Pressure(average for month),0.696,kPa
2014,April,Spring,EY,vap,Vapor Pressure(average for month),0.684,kPa
2014,April,Spring,PFN,vpd,Vapor Pressure Deficit(average for month),0.43,kpa
2014,April,Spring,ERG,vpd,Vapor Pressure Deficit(average for month),0.42,kpa
2014,April,Spring,WH,vpd,Vapor Pressure Deficit(average for month),0.46,kpa
2014,April,Spring,JUG,vpd,Vapor Pressure Deficit(average for month),0.44,kpa
2014,April,Spring,K69,vpd,Vapor Pressure Deficit(average for month),0.43,kpa
2014,April,Spring,EY,vpd,Vapor Pressure Deficit(average for month),0.4,kpa
2014,April,Spring,WH,ws,Wind Speed(average for month),2.01,m/s
2014,April,Spring,EY,ws,Wind Speed(average for month),2.12,m/s
2014,April,Spring,K69,ws,Wind Speed(average for month),2.13,m/s
2014,April,Spring,PFN,ws,Wind Speed(average for month),2.13,m/s
2014,April,Spring,JUG,ws,Wind Speed(average for month),2.08,m/s
2014,April,Spring,ERG,ws,Wind Speed(average for month),2.15,m/s
2014,December,Fall,ERG,aet,Actual Evapotranspiration(monthly total),16.9,mm
2014,December,Fall,PFN,aet,Actual Evapotranspiration(monthly total),17.5,mm
2014,December,Fall,EY,aet,Actual Evapotranspiration(monthly total),17,mm
2014,December,Fall,JUG,aet,Actual Evapotranspiration(monthly total),17.3,mm
2014,December,Fall,K69,aet,Actual Evapotranspiration(monthly total),17.5,mm
2014,December,Fall,WH,aet,Actual Evapotranspiration(monthly total),16.8,mm
2014,December,Fall,WH,def,Climate Water Deficit(monthly total),0,mm
2014,December,Fall,JUG,def,Climate Water Deficit(monthly total),0,mm
2014,December,Fall,EY,def,Climate Water Deficit(monthly total),0,mm
2014,December,Fall,K69,def,Climate Water Deficit(monthly total),0,mm
2014,December,Fall,ERG,def,Climate Water Deficit(monthly total),0,mm
2014,December,Fall,PFN,def,Climate Water Deficit(monthly total),0,mm
2014,December,Fall,JUG,PDSI,Palmer Drought Severity Index(at end of month),2.71,unitless
2014,December,Fall,K69,PDSI,Palmer Drought Severity Index(at end of month),2.62,unitless
2014,December,Fall,PFN,PDSI,Palmer Drought Severity Index(at end of month),2.62,unitless
2014,December,Fall,EY,PDSI,Palmer Drought Severity Index(at end of month),2.44,unitless
2014,December,Fall,WH,PDSI,Palmer Drought Severity Index(at end of month),2.71,unitless
2014,December,Fall,ERG,PDSI,Palmer Drought Severity Index(at end of month),2.48,unitless
2014,December,Fall,ERG,pet,Potential Evapotranspiration(monthly total),16.9,mm
2014,December,Fall,EY,pet,Potential Evapotranspiration(monthly total),17,mm
2014,December,Fall,WH,pet,Potential Evapotranspiration(monthly total),16.8,mm
2014,December,Fall,PFN,pet,Potential Evapotranspiration(monthly total),17.5,mm
2014,December,Fall,JUG,pet,Potential Evapotranspiration(monthly total),17.3,mm
2014,December,Fall,K69,pet,Potential Evapotranspiration(monthly total),17.5,mm
2014,December,Fall,EY,ppt,Precipitation(monthly total),69.7,mm
2014,December,Fall,WH,ppt,Precipitation(monthly total),59,mm
2014,December,Fall,JUG,ppt,Precipitation(monthly total),52.8,mm
2014,December,Fall,PFN,ppt,Precipitation(monthly total),55.2,mm
2014,December,Fall,K69,ppt,Precipitation(monthly total),55.2,mm
2014,December,Fall,ERG,ppt,Precipitation(monthly total),69.3,mm
2014,December,Fall,EY,q,Runoff(monthly total),52.7,mm
2014,December,Fall,ERG,q,Runoff(monthly total),52.4,mm
2014,December,Fall,K69,q,Runoff(monthly total),37.7,mm
2014,December,Fall,PFN,q,Runoff(monthly total),37.7,mm
2014,December,Fall,WH,q,Runoff(monthly total),42.2,mm
2014,December,Fall,JUG,q,Runoff(monthly total),35.5,mm
2014,December,Fall,PFN,soil,Soil Moisture(total column - at end of month),61.8,mm
2014,December,Fall,K69,soil,Soil Moisture(total column - at end of month),61.8,mm
2014,December,Fall,EY,soil,Soil Moisture(total column - at end of month),58.5,mm
2014,December,Fall,JUG,soil,Soil Moisture(total column - at end of month),61.2,mm
2014,December,Fall,ERG,soil,Soil Moisture(total column - at end of month),59.8,mm
2014,December,Fall,WH,soil,Soil Moisture(total column - at end of month),61.4,mm
2014,December,Fall,WH,srad,Downward Surface Shortwave Radiation,52.99774767,W/m2
2014,December,Fall,PFN,srad,Downward Surface Shortwave Radiation,53.40174419,W/m2
2014,December,Fall,JUG,srad,Downward Surface Shortwave Radiation,53.20386834,W/m2
2014,December,Fall,K69,srad,Downward Surface Shortwave Radiation,53.40174419,W/m2
2014,December,Fall,EY,srad,Downward Surface Shortwave Radiation,53.79749588,W/m2
2014,December,Fall,ERG,srad,Downward Surface Shortwave Radiation,53.59962003,W/m2
2014,December,Fall,EY,swe,Snow Water Equivalent(at end of month),0,mm
2014,December,Fall,WH,swe,Snow Water Equivalent(at end of month),0,mm
2014,December,Fall,PFN,swe,Snow Water Equivalent(at end of month),0,mm
2014,December,Fall,JUG,swe,Snow Water Equivalent(at end of month),0,mm
2014,December,Fall,ERG,swe,Snow Water Equivalent(at end of month),0,mm
2014,December,Fall,K69,swe,Snow Water Equivalent(at end of month),0,mm
2014,December,Fall,JUG,tmax,Max Temperature(average for month),10.49,C
2014,December,Fall,K69,tmax,Max Temperature(average for month),10.38,C
2014,December,Fall,EY,tmax,Max Temperature(average for month),9.95,C
2014,December,Fall,ERG,tmax,Max Temperature(average for month),9.83,C
2014,December,Fall,WH,tmax,Max Temperature(average for month),10.35,C
2014,December,Fall,PFN,tmax,Max Temperature(average for month),10.38,C
2014,December,Fall,ERG,tmin,Min Temperature(average for month),3.45,C
2014,December,Fall,K69,tmin,Min Temperature(average for month),3.95,C
2014,December,Fall,EY,tmin,Min Temperature(average for month),3.58,C
2014,December,Fall,JUG,tmin,Min Temperature(average for month),4.15,C
2014,December,Fall,WH,tmin,Min Temperature(average for month),4.05,C
2014,December,Fall,PFN,tmin,Min Temperature(average for month),3.95,C
2014,December,Fall,JUG,vap,Vapor Pressure(average for month),0.824,kPa
2014,December,Fall,PFN,vap,Vapor Pressure(average for month),0.815,kPa
2014,December,Fall,K69,vap,Vapor Pressure(average for month),0.815,kPa
2014,December,Fall,WH,vap,Vapor Pressure(average for month),0.831,kPa
2014,December,Fall,EY,vap,Vapor Pressure(average for month),0.821,kPa
2014,December,Fall,ERG,vap,Vapor Pressure(average for month),0.815,kPa
2014,December,Fall,JUG,vpd,Vapor Pressure Deficit(average for month),0.23,kpa
2014,December,Fall,WH,vpd,Vapor Pressure Deficit(average for month),0.21,kpa
2014,December,Fall,EY,vpd,Vapor Pressure Deficit(average for month),0.19,kpa
2014,December,Fall,ERG,vpd,Vapor Pressure Deficit(average for month),0.19,kpa
2014,December,Fall,K69,vpd,Vapor Pressure Deficit(average for month),0.22,kpa
2014,December,Fall,PFN,vpd,Vapor Pressure Deficit(average for month),0.22,kpa
2014,December,Fall,WH,ws,Wind Speed(average for month),1.14,m/s
2014,December,Fall,JUG,ws,Wind Speed(average for month),1.17,m/s
2014,December,Fall,K69,ws,Wind Speed(average for month),1.24,m/s
2014,December,Fall,PFN,ws,Wind Speed(average for month),1.24,m/s
2014,December,Fall,EY,ws,Wind Speed(average for month),1.32,m/s
2014,December,Fall,ERG,ws,Wind Speed(average for month),1.31,m/s
2015,December,Fall,K69,aet,Actual Evapotranspiration(monthly total),21.4,mm
2015,December,Fall,JUG,aet,Actual Evapotranspiration(monthly total),21.2,mm
2015,December,Fall,WH,aet,Actual Evapotranspiration(monthly total),20,mm
2015,December,Fall,PFN,aet,Actual Evapotranspiration(monthly total),21.4,mm
2015,December,Fall,EY,aet,Actual Evapotranspiration(monthly total),18.9,mm
2015,December,Fall,ERG,aet,Actual Evapotranspiration(monthly total),18.9,mm
2015,December,Fall,JUG,def,Climate Water Deficit(monthly total),0,mm
2015,December,Fall,PFN,def,Climate Water Deficit(monthly total),0,mm
2015,December,Fall,K69,def,Climate Water Deficit(monthly total),0,mm
2015,December,Fall,ERG,def,Climate Water Deficit(monthly total),0,mm
2015,December,Fall,WH,def,Climate Water Deficit(monthly total),0,mm
2015,December,Fall,EY,def,Climate Water Deficit(monthly total),0,mm
2015,December,Fall,EY,PDSI,Palmer Drought Severity Index(at end of month),-4.71,unitless
2015,December,Fall,K69,PDSI,Palmer Drought Severity Index(at end of month),-5.11,unitless
2015,December,Fall,ERG,PDSI,Palmer Drought Severity Index(at end of month),-4.77,unitless
2015,December,Fall,WH,PDSI,Palmer Drought Severity Index(at end of month),-4.92,unitless
2015,December,Fall,JUG,PDSI,Palmer Drought Severity Index(at end of month),-5.09,unitless
2015,December,Fall,PFN,PDSI,Palmer Drought Severity Index(at end of month),-5.11,unitless
2015,December,Fall,EY,pet,Potential Evapotranspiration(monthly total),18.9,mm
2015,December,Fall,ERG,pet,Potential Evapotranspiration(monthly total),18.9,mm
2015,December,Fall,JUG,pet,Potential Evapotranspiration(monthly total),21.2,mm
2015,December,Fall,WH,pet,Potential Evapotranspiration(monthly total),20,mm
2015,December,Fall,K69,pet,Potential Evapotranspiration(monthly total),21.4,mm
2015,December,Fall,PFN,pet,Potential Evapotranspiration(monthly total),21.4,mm
2015,December,Fall,WH,ppt,Precipitation(monthly total),72.2,mm
2015,December,Fall,EY,ppt,Precipitation(monthly total),79.9,mm
2015,December,Fall,K69,ppt,Precipitation(monthly total),72.6,mm
2015,December,Fall,PFN,ppt,Precipitation(monthly total),72.6,mm
2015,December,Fall,JUG,ppt,Precipitation(monthly total),70.6,mm
2015,December,Fall,ERG,ppt,Precipitation(monthly total),80.8,mm
2015,December,Fall,JUG,q,Runoff(monthly total),3.5,mm
2015,December,Fall,EY,q,Runoff(monthly total),11.3,mm
2015,December,Fall,K69,q,Runoff(monthly total),3.6,mm
2015,December,Fall,ERG,q,Runoff(monthly total),11.1,mm
2015,December,Fall,PFN,q,Runoff(monthly total),3.6,mm
2015,December,Fall,WH,q,Runoff(monthly total),3.6,mm
2015,December,Fall,EY,soil,Soil Moisture(total column - at end of month),58.5,mm
2015,December,Fall,WH,soil,Soil Moisture(total column - at end of month),57.3,mm
2015,December,Fall,ERG,soil,Soil Moisture(total column - at end of month),59.8,mm
2015,December,Fall,JUG,soil,Soil Moisture(total column - at end of month),54.4,mm
2015,December,Fall,K69,soil,Soil Moisture(total column - at end of month),56.4,mm
2015,December,Fall,PFN,soil,Soil Moisture(total column - at end of month),56.4,mm
2015,December,Fall,PFN,srad,Downward Surface Shortwave Radiation,51.40341665,W/m2
2015,December,Fall,WH,srad,Downward Surface Shortwave Radiation,51.40341665,W/m2
2015,December,Fall,K69,srad,Downward Surface Shortwave Radiation,51.40341665,W/m2
2015,December,Fall,JUG,srad,Downward Surface Shortwave Radiation,51.10185863,W/m2
2015,December,Fall,EY,srad,Downward Surface Shortwave Radiation,52.90305652,W/m2
2015,December,Fall,ERG,srad,Downward Surface Shortwave Radiation,52.39774309,W/m2
2015,December,Fall,EY,swe,Snow Water Equivalent(at end of month),0,mm
2015,December,Fall,WH,swe,Snow Water Equivalent(at end of month),0,mm
2015,December,Fall,PFN,swe,Snow Water Equivalent(at end of month),0,mm
2015,December,Fall,K69,swe,Snow Water Equivalent(at end of month),0,mm
2015,December,Fall,JUG,swe,Snow Water Equivalent(at end of month),0,mm
2015,December,Fall,ERG,swe,Snow Water Equivalent(at end of month),0,mm
2015,December,Fall,K69,tmax,Max Temperature(average for month),11.67,C
2015,December,Fall,ERG,tmax,Max Temperature(average for month),11.2,C
2015,December,Fall,WH,tmax,Max Temperature(average for month),11.68,C
2015,December,Fall,EY,tmax,Max Temperature(average for month),11.32,C
2015,December,Fall,JUG,tmax,Max Temperature(average for month),11.76,C
2015,December,Fall,PFN,tmax,Max Temperature(average for month),11.67,C
2015,December,Fall,PFN,tmin,Min Temperature(average for month),3.44,C
2015,December,Fall,EY,tmin,Min Temperature(average for month),3.14,C
2015,December,Fall,JUG,tmin,Min Temperature(average for month),3.62,C
2015,December,Fall,WH,tmin,Min Temperature(average for month),3.58,C
2015,December,Fall,K69,tmin,Min Temperature(average for month),3.44,C
2015,December,Fall,ERG,tmin,Min Temperature(average for month),3.02,C
2015,December,Fall,K69,vap,Vapor Pressure(average for month),0.884,kPa
2015,December,Fall,JUG,vap,Vapor Pressure(average for month),0.893,kPa
2015,December,Fall,PFN,vap,Vapor Pressure(average for month),0.884,kPa
2015,December,Fall,WH,vap,Vapor Pressure(average for month),0.902,kPa
2015,December,Fall,EY,vap,Vapor Pressure(average for month),0.891,kPa
2015,December,Fall,ERG,vap,Vapor Pressure(average for month),0.885,kPa
2015,December,Fall,EY,vpd,Vapor Pressure Deficit(average for month),0.17,kpa
2015,December,Fall,WH,vpd,Vapor Pressure Deficit(average for month),0.18,kpa
2015,December,Fall,JUG,vpd,Vapor Pressure Deficit(average for month),0.2,kpa
2015,December,Fall,ERG,vpd,Vapor Pressure Deficit(average for month),0.16,kpa
2015,December,Fall,PFN,vpd,Vapor Pressure Deficit(average for month),0.2,kpa
2015,December,Fall,K69,vpd,Vapor Pressure Deficit(average for month),0.2,kpa
2015,December,Fall,ERG,ws,Wind Speed(average for month),3.17,m/s
2015,December,Fall,WH,ws,Wind Speed(average for month),3.07,m/s
2015,December,Fall,K69,ws,Wind Speed(average for month),3.24,m/s
2015,December,Fall,JUG,ws,Wind Speed(average for month),3.18,m/s
2015,December,Fall,EY,ws,Wind Speed(average for month),3.13,m/s
2015,December,Fall,PFN,ws,Wind Speed(average for month),3.24,m/s
2015,February,Spring,EY,aet,Actual Evapotranspiration(monthly total),2.8,mm
2015,February,Spring,K69,aet,Actual Evapotranspiration(monthly total),5.4,mm
2015,February,Spring,WH,aet,Actual Evapotranspiration(monthly total),6.7,mm
2015,February,Spring,PFN,aet,Actual Evapotranspiration(monthly total),5.4,mm
2015,February,Spring,ERG,aet,Actual Evapotranspiration(monthly total),3,mm
2015,February,Spring,JUG,aet,Actual Evapotranspiration(monthly total),6.2,mm
2015,February,Spring,ERG,def,Climate Water Deficit(monthly total),0,mm
2015,February,Spring,WH,def,Climate Water Deficit(monthly total),0,mm
2015,February,Spring,JUG,def,Climate Water Deficit(monthly total),0,mm
2015,February,Spring,EY,def,Climate Water Deficit(monthly total),0,mm
2015,February,Spring,PFN,def,Climate Water Deficit(monthly total),0,mm
2015,February,Spring,K69,def,Climate Water Deficit(monthly total),0,mm
2015,February,Spring,PFN,PDSI,Palmer Drought Severity Index(at end of month),1.7,unitless
2015,February,Spring,JUG,PDSI,Palmer Drought Severity Index(at end of month),1.75,unitless
2015,February,Spring,EY,PDSI,Palmer Drought Severity Index(at end of month),1.66,unitless
2015,February,Spring,WH,PDSI,Palmer Drought Severity Index(at end of month),1.78,unitless
2015,February,Spring,K69,PDSI,Palmer Drought Severity Index(at end of month),1.7,unitless
2015,February,Spring,ERG,PDSI,Palmer Drought Severity Index(at end of month),1.69,unitless
2015,February,Spring,JUG,pet,Potential Evapotranspiration(monthly total),6.2,mm
2015,February,Spring,EY,pet,Potential Evapotranspiration(monthly total),2.8,mm
2015,February,Spring,WH,pet,Potential Evapotranspiration(monthly total),6.7,mm
2015,February,Spring,ERG,pet,Potential Evapotranspiration(monthly total),3,mm
2015,February,Spring,PFN,pet,Potential Evapotranspiration(monthly total),5.4,mm
2015,February,Spring,K69,pet,Potential Evapotranspiration(monthly total),5.4,mm
2015,February,Spring,PFN,ppt,Precipitation(monthly total),21.2,mm
2015,February,Spring,ERG,ppt,Precipitation(monthly total),30.3,mm
2015,February,Spring,WH,ppt,Precipitation(monthly total),24.3,mm
2015,February,Spring,K69,ppt,Precipitation(monthly total),21.2,mm
2015,February,Spring,EY,ppt,Precipitation(monthly total),31.7,mm
2015,February,Spring,JUG,ppt,Precipitation(monthly total),20.1,mm
2015,February,Spring,K69,q,Runoff(monthly total),8.7,mm
2015,February,Spring,PFN,q,Runoff(monthly total),8.7,mm
2015,February,Spring,WH,q,Runoff(monthly total),12.7,mm
2015,February,Spring,JUG,q,Runoff(monthly total),8.3,mm
2015,February,Spring,ERG,q,Runoff(monthly total),12,mm
2015,February,Spring,EY,q,Runoff(monthly total),11.8,mm
2015,February,Spring,EY,soil,Soil Moisture(total column - at end of month),58.5,mm
2015,February,Spring,WH,soil,Soil Moisture(total column - at end of month),61.4,mm
2015,February,Spring,PFN,soil,Soil Moisture(total column - at end of month),61.8,mm
2015,February,Spring,JUG,soil,Soil Moisture(total column - at end of month),61.2,mm
2015,February,Spring,ERG,soil,Soil Moisture(total column - at end of month),59.8,mm
2015,February,Spring,K69,soil,Soil Moisture(total column - at end of month),61.8,mm
2015,February,Spring,EY,srad,Downward Surface Shortwave Radiation,78.90224776,W/m2
2015,February,Spring,WH,srad,Downward Surface Shortwave Radiation,78.20132912,W/m2
2015,February,Spring,JUG,srad,Downward Surface Shortwave Radiation,78.79629494,W/m2
2015,February,Spring,K69,srad,Downward Surface Shortwave Radiation,78.90224776,W/m2
2015,February,Spring,ERG,srad,Downward Surface Shortwave Radiation,78.60068974,W/m2
2015,February,Spring,PFN,srad,Downward Surface Shortwave Radiation,78.90224776,W/m2
2015,February,Spring,EY,swe,Snow Water Equivalent(at end of month),46.6,mm
2015,February,Spring,K69,swe,Snow Water Equivalent(at end of month),18.4,mm
2015,February,Spring,PFN,swe,Snow Water Equivalent(at end of month),18.4,mm
2015,February,Spring,WH,swe,Snow Water Equivalent(at end of month),17.4,mm
2015,February,Spring,JUG,swe,Snow Water Equivalent(at end of month),14.7,mm
2015,February,Spring,ERG,swe,Snow Water Equivalent(at end of month),44.1,mm
2015,February,Spring,WH,tmax,Max Temperature(average for month),4.19,C
2015,February,Spring,JUG,tmax,Max Temperature(average for month),4.07,C
2015,February,Spring,ERG,tmax,Max Temperature(average for month),3.47,C
2015,February,Spring,EY,tmax,Max Temperature(average for month),3.44,C
2015,February,Spring,K69,tmax,Max Temperature(average for month),3.91,C
2015,February,Spring,PFN,tmax,Max Temperature(average for month),3.91,C
2015,February,Spring,JUG,tmin,Min Temperature(average for month),-2.73,C
2015,February,Spring,ERG,tmin,Min Temperature(average for month),-3.44,C
2015,February,Spring,PFN,tmin,Min Temperature(average for month),-2.87,C
2015,February,Spring,EY,tmin,Min Temperature(average for month),-3.55,C
2015,February,Spring,K69,tmin,Min Temperature(average for month),-2.87,C
2015,February,Spring,WH,tmin,Min Temperature(average for month),-2.65,C
2015,February,Spring,PFN,vap,Vapor Pressure(average for month),0.515,kPa
2015,February,Spring,EY,vap,Vapor Pressure(average for month),0.515,kPa
2015,February,Spring,WH,vap,Vapor Pressure(average for month),0.527,kPa
2015,February,Spring,K69,vap,Vapor Pressure(average for month),0.515,kPa
2015,February,Spring,ERG,vap,Vapor Pressure(average for month),0.512,kPa
2015,February,Spring,JUG,vap,Vapor Pressure(average for month),0.518,kPa
2015,February,Spring,JUG,vpd,Vapor Pressure Deficit(average for month),0.14,kpa
2015,February,Spring,WH,vpd,Vapor Pressure Deficit(average for month),0.14,kpa
2015,February,Spring,EY,vpd,Vapor Pressure Deficit(average for month),0.11,kpa
2015,February,Spring,ERG,vpd,Vapor Pressure Deficit(average for month),0.12,kpa
2015,February,Spring,PFN,vpd,Vapor Pressure Deficit(average for month),0.14,kpa
2015,February,Spring,K69,vpd,Vapor Pressure Deficit(average for month),0.14,kpa
2015,February,Spring,PFN,ws,Wind Speed(average for month),2.17,m/s
2015,February,Spring,K69,ws,Wind Speed(average for month),2.17,m/s
2015,February,Spring,ERG,ws,Wind Speed(average for month),2.17,m/s
2015,February,Spring,WH,ws,Wind Speed(average for month),2.04,m/s
2015,February,Spring,JUG,ws,Wind Speed(average for month),2.09,m/s
2015,February,Spring,EY,ws,Wind Speed(average for month),2.17,m/s
2016,December,Fall,ERG,aet,Actual Evapotranspiration(monthly total),15.5,mm
2016,December,Fall,EY,aet,Actual Evapotranspiration(monthly total),15.6,mm
2016,December,Fall,JUG,aet,Actual Evapotranspiration(monthly total),17.2,mm
2016,December,Fall,K69,aet,Actual Evapotranspiration(monthly total),17.2,mm
2016,December,Fall,PFN,aet,Actual Evapotranspiration(monthly total),17.2,mm
2016,December,Fall,WH,aet,Actual Evapotranspiration(monthly total),16.3,mm
2016,December,Fall,JUG,def,Climate Water Deficit(monthly total),0,mm
2016,December,Fall,EY,def,Climate Water Deficit(monthly total),0,mm
2016,December,Fall,ERG,def,Climate Water Deficit(monthly total),0,mm
2016,December,Fall,PFN,def,Climate Water Deficit(monthly total),0,mm
2016,December,Fall,K69,def,Climate Water Deficit(monthly total),0,mm
2016,December,Fall,WH,def,Climate Water Deficit(monthly total),0,mm
2016,December,Fall,ERG,PDSI,Palmer Drought Severity Index(at end of month),-1.8,unitless
2016,December,Fall,WH,PDSI,Palmer Drought Severity Index(at end of month),-1.6,unitless
2016,December,Fall,EY,PDSI,Palmer Drought Severity Index(at end of month),-1.8,unitless
2016,December,Fall,JUG,PDSI,Palmer Drought Severity Index(at end of month),-2.1,unitless
2016,December,Fall,PFN,PDSI,Palmer Drought Severity Index(at end of month),-2.1,unitless
2016,December,Fall,K69,PDSI,Palmer Drought Severity Index(at end of month),-2.1,unitless
2016,December,Fall,JUG,pet,Potential Evapotranspiration(monthly total),17.2,mm
2016,December,Fall,K69,pet,Potential Evapotranspiration(monthly total),17.2,mm
2016,December,Fall,ERG,pet,Potential Evapotranspiration(monthly total),15.5,mm
2016,December,Fall,WH,pet,Potential Evapotranspiration(monthly total),16.3,mm
2016,December,Fall,PFN,pet,Potential Evapotranspiration(monthly total),17.2,mm
2016,December,Fall,EY,pet,Potential Evapotranspiration(monthly total),15.6,mm
2016,December,Fall,JUG,ppt,Precipitation(monthly total),53.9,mm
2016,December,Fall,WH,ppt,Precipitation(monthly total),56,mm
2016,December,Fall,EY,ppt,Precipitation(monthly total),62.9,mm
2016,December,Fall,ERG,ppt,Precipitation(monthly total),63.2,mm
2016,December,Fall,K69,ppt,Precipitation(monthly total),55.5,mm
2016,December,Fall,PFN,ppt,Precipitation(monthly total),55.5,mm
2016,December,Fall,WH,q,Runoff(monthly total),2.8,mm
2016,December,Fall,JUG,q,Runoff(monthly total),2.7,mm
2016,December,Fall,PFN,q,Runoff(monthly total),2.8,mm
2016,December,Fall,K69,q,Runoff(monthly total),2.8,mm
2016,December,Fall,EY,q,Runoff(monthly total),16.6,mm
